time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4215, 0.261922, 0, 5, 0, 0, 0
1, 3905, 0.319078, 0, 5, 0, 0, 1
2, 3801, 0.362273, 0, 5, 0, 0, 1
3, 3751, 0.392695, 0, 5, 0, 0, 1
4, 3795, 0.348353, 0, 5, 0, 0, 1
5, 3857, 0.339901, 0, 6, 0, 0, 1
6, 3971, 0.301184, 0, 4, 0, 0, 1
7, 3824, 0.348588, 0, 5, 0, 0, 1
8, 3997, 0.299475, 0, 5, 0, 0, 1
9, 3877, 0.313645, 0, 4, 0, 0, 1
10, 3514, 0.464428, 0, 5, 0, 0, 1
11, 3732, 0.375134, 0, 5, 0, 0, 1
12, 3565, 0.456942, 0, 6, 0, 0, 1
13, 3324, 0.579723, 0, 7, 0, 0, 1
14, 3755, 0.381092, 0, 4, 0, 0, 1
15, 4047, 0.268594, 0, 4, 0, 0, 0
16, 3808, 0.336922, 0, 28, 0, 0, 1
17, 4228, 0.253075, 0, 5, 0, 0, 0
18, 3937, 0.310897, 0, 5, 0, 0, 1
19, 3914, 0.330353, 0, 5, 0, 0, 1
20, 3863, 0.337820, 0, 5, 0, 0, 1
21, 3940, 0.311929, 0, 7, 0, 0, 1
22, 3844, 0.342872, 0, 6, 0, 0, 1
23, 3940, 0.299492, 0, 5, 0, 0, 1
24, 3932, 0.292472, 0, 4, 0, 0, 0
25, 4013, 0.279841, 0, 5, 0, 0, 0
26, 3928, 0.292261, 0, 5, 0, 0, 1
27, 4021, 0.274310, 0, 4, 0, 0, 0
28, 4192, 0.247853, 0, 5, 0, 0, 0
29, 4162, 0.253244, 0, 5, 0, 0, 0
30, 4033, 0.277957, 0, 5, 0, 0, 0
31, 3833, 0.326637, 0, 5, 0, 0, 1
32, 3938, 0.283393, 0, 6, 0, 0, 0
33, 4150, 0.255181, 0, 4, 0, 0, 0
34, 4138, 0.260512, 0, 4, 0, 0, 0
35, 4008, 0.279940, 0, 5, 0, 0, 0
36, 3905, 0.311140, 0, 6, 0, 0, 1
37, 4189, 0.244211, 0, 5, 0, 0, 0
38, 3954, 0.299949, 0, 5, 0, 0, 1
39, 3988, 0.280341, 0, 5, 0, 0, 0
40, 3872, 0.315341, 0, 6, 0, 0, 1
41, 3957, 0.295173, 0, 4, 0, 0, 1
42, 4172, 0.251198, 0, 6, 0, 0, 0
43, 4172, 0.255513, 0, 5, 0, 0, 0
44, 4057, 0.266700, 0, 5, 0, 0, 0
45, 4074, 0.271478, 0, 5, 0, 0, 0
46, 3690, 0.373171, 0, 27, 0, 0, 1
47, 3823, 0.335862, 0, 4, 0, 0, 1
48, 3931, 0.301959, 0, 6, 0, 0, 1
49, 3973, 0.285427, 0, 5, 0, 0, 0
50, 3806, 0.341829, 0, 5, 0, 0, 1
51, 4057, 0.271629, 0, 5, 0, 0, 0
52, 3968, 0.301411, 0, 5, 0, 0, 1
53, 3837, 0.323951, 0, 4, 0, 0, 1
54, 3793, 0.345373, 0, 17, 0, 0, 1
55, 3979, 0.286504, 0, 5, 0, 0, 0
56, 4055, 0.278175, 0, 6, 0, 0, 0
57, 3965, 0.286507, 0, 4, 0, 0, 0
58, 4002, 0.278861, 0, 5, 0, 0, 0
59, 3889, 0.303163, 0, 5, 0, 0, 1
60, 22, 0.136364, 0, 2, 0, 0, 0
